Date_reported, Country_code,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Predicted_deaths,Predicted_deaths,Country,,,,,
30/11/2020,BRA,WPRO,8,8,0,0,0.017039928,124.0986697,Brazil,67.03030717,67,67,8,8
01/12/2020,BRA,WPRO,14,22,0,0,0.022235967,159.1763996,Brazil,95.54797266,96,163,14,22
02/12/2020,BRA,WPRO,8,30,0,0,0.029024562,207.6951002,Brazil,124.9112656,125,288,8,30
03/12/2020,BRA,WPRO,7,37,0,0,0.037864885,270.6444334,Brazil,162.936514,163,451,7,37
04/12/2020,BRA,WPRO,10,47,0,0,0.049373597,352.4315294,Brazil,211.5637238,212,663,10,47
05/12/2020,BRA,WPRO,10,57,0,0,0.064335721,458.8201589,Brazil,275.1834028,275,938,10,57
06/12/2020,BRA,WPRO,8,65,0,0,0.083777861,597.2655947,Brazil,353.6271632,354,1292,8,65
07/12/2020,BRA,WPRO,9,74,0,0,0.109043043,777.4127779,Brazil,454.4934298,454,1746,9,74
08/12/2020,BRA,WPRO,10,84,0,0,0.141865999,932.2382765,Brazil,608.8545104,609,2355,10,84
09/12/2020,BRA,WPRO,8,92,0,0,0.184395781,1206.541909,Brazil,779.7553814,780,3135,8,92
10/12/2020,BRA,WPRO,20,112,0,0,0.239198257,1548.985617,Brazil,993.6275645,994,4129,20,112
11/12/2020,BRA,WPRO,10,122,0,0,0.309492779,1981.198972,Brazil,1268.594863,1269,5398,10,122
12/12/2020,BRA,WPRO,11,133,0,0,0.399195864,2530.828227,Brazil,1606.133145,1606,7004,11,133
13/12/2020,BRA,WPRO,35,168,1,1,0.513577382,3231.134432,Brazil,2014.082656,2014,9018,35,168
14/12/2020,BRA,WPRO,46,214,1,2,0.65938967,4122.825532,Brazil,2530.006042,2530,11548,46,214
15/12/2020,BRA,WPRO,47,261,1,3,0.845015902,4442.102205,Brazil,2936.257813,2936,14484,47,261
16/12/2020,BRA,WPRO,32,293,1,4,1.080201417,5607.537459,Brazil,3625.664555,3626,18110,32,293
17/12/2020,BRA,WPRO,32,325,1,5,1.37516088,6960.556031,Brazil,4386.84482,4387,22497,32,325
18/12/2020,BRA,WPRO,35,360,2,7,1.741866444,8564.148169,Brazil,5241.298496,5241,27738,35,360
19/12/2020,BRA,WPRO,33,393,2,9,2.193042104,10495.46956,Brazil,6178.593563,6179,33917,33,393
20/12/2020,BRA,WPRO,113,506,3,12,2.746951165,12829.305,Brazil,7277.419959,7277,41194,113,506
21/12/2020,BRA,WPRO,63,569,3,15,3.42634843,15639.0857,Brazil,8520.280536,8520,49714,63,569
22/12/2020,BRA,WPRO,84,653,4,19,4.256526289,15187.96889,Brazil,8886.074476,8886,58600,84,653
23/12/2020,BRA,WPRO,82,735,5,24,5.264363592,18218.62536,Brazil,10322.82704,10323,68923,82,735
24/12/2020,BRA,WPRO,77,812,6,30,6.473728559,21355.11826,Brazil,11749.64902,11750,80673,77,812
25/12/2020,BRA,WPRO,121,933,8,38,7.908255365,24663.57895,Brazil,13299.65316,13300,93973,121,933
26/12/2020,BRA,WPRO,105,1038,10,48,9.585252795,28224.13508,Brazil,14719.16975,14719,108692,105,1038
27/12/2020,BRA,WPRO,120,1158,12,60,11.5359448,32059.15496,Brazil,16162.66974,16163,124855,120,1158
28/12/2020,BRA,WPRO,151,1309,14,74,13.79868166,36134.69677,Brazil,17614.87551,17615,142470,151,1309
29/12/2020,BRA,WPRO,113,1422,16,90,16.40174666,32006.91852,Brazil,16899.97125,16900,159370,113,1422
30/12/2020,BRA,WPRO,122,1544,19,109,19.37001006,35361.03981,Brazil,18443.13855,18443,177813,122,1544
31/12/2020,BRA,WPRO,135,1679,23,132,22.71505278,38121.94783,Brazil,19569.48687,19569,197382,135,1679
01/01/2021,BRA,WPRO,220,1899,26,158,26.43271605,40336.96258,Brazil,20413.62097,20414,217796,220,1899
02/01/2021,BRA,WPRO,152,2051,30,188,30.49230217,42095.86932,Brazil,21093.05007,21093,238889,152,2051
03/01/2021,BRA,WPRO,194,2245,35,223,34.88520476,43425.28606,Brazil,21455.85529,21456,260345,194,2245
04/01/2021,BRA,WPRO,228,2473,40,263,39.61170497,44306.32407,Brazil,21387.36973,21387,281732,228,2473
05/01/2021,BRA,WPRO,202,2675,45,308,44.62544533,38140.82948,Brazil,18006.99436,18007,299739,202,2675
06/01/2021,BRA,WPRO,174,2849,50,358,49.88309255,38128.27943,Brazil,18264.74442,18265,318004,174,2849
07/01/2021,BRA,WPRO,177,3026,55,413,55.33646677,37478.42569,Brazil,18132.3952,18132,336136,177,3026
08/01/2021,BRA,WPRO,190,3216,61,474,60.90649829,36306.24686,Brazil,17562.38844,17562,353698,190,3216
09/01/2021,BRA,WPRO,168,3384,66,540,66.48977001,34757.53927,Brazil,16782.05027,16782,370480,168,3384
10/01/2021,BRA,WPRO,382,3766,72,612,72.01130458,32950.56869,Brazil,15996.64692,15997,386477,382,3766
11/01/2021,BRA,WPRO,222,3988,77,689,77.42021465,30976.69046,Brazil,15027.55533,15028,401505,222,3988
12/01/2021,BRA,WPRO,210,4198,83,772,82.60383726,32184.00646,Brazil,14872.40981,14872,416377,210,4198
13/01/2021,BRA,WPRO,199,4397,87,859,87.49533523,29564.35047,Brazil,14006.94616,14007,430384,199,4397
14/01/2021,BRA,WPRO,146,4543,92,951,92.05955114,27180.41536,Brazil,13104.03334,13104,443488,146,4543
15/01/2021,BRA,WPRO,275,4818,96,1047,96.24047384,24965.60017,Brazil,12189.06946,12189,455677,275,4818
16/01/2021,BRA,WPRO,182,5000,100,1147,99.99681053,22869.08611,Brazil,11230.73257,11231,466908,182,5000
17/01/2021,BRA,WPRO,171,5171,103,1250,103.2913902,20875.97885,Brazil,10335.93815,10336,477244,171,5171
18/01/2021,BRA,WPRO,179,5350,106,1356,106.1029049,18990.53152,Brazil,9318.644422,9319,486563,179,5350
19/01/2021,BRA,WPRO,161,5511,108,1464,108.3929505,19826.17333,Brazil,9097.296783,9097,495660,161,5511
20/01/2021,BRA,WPRO,315,5826,110,1574,110.1603946,17803.8949,Brazil,8190.965752,8191,503851,315,5826
21/01/2021,BRA,WPRO,148,5974,111,1685,111.4068219,16073.27391,Brazil,7313.978198,7314,511165,148,5974
22/01/2021,BRA,WPRO,152,6126,112,1797,112.1397154,14566.9593,Brazil,6511.049481,6511,517676,152,6126
23/01/2021,BRA,WPRO,134,6260,112,1909,112.384725,13225.26181,Brazil,5824.117259,5824,523500,134,6260
24/01/2021,BRA,WPRO,135,6395,112,2021,112.1579955,12012.28466,Brazil,5163.771438,5164,528664,135,6395
25/01/2021,BRA,WPRO,196,6591,111,2132,111.4649134,10908.2125,Brazil,4530.330609,4530,533194,196,6591
26/01/2021,BRA,WPRO,139,6730,110,2242,110.3570137,10690.5374,Brazil,3769.496333,3769,536963,139,6730
27/01/2021,BRA,WPRO,126,6856,109,2351,108.864235,9681.675464,Brazil,3356.346571,3356,540319,126,6856
28/01/2021,BRA,WPRO,147,7003,107,2458,107.0040487,8806.773674,Brazil,2949.689137,2950,543269,147,7003
29/01/2021,BRA,WPRO,99,7102,105,2563,104.8276601,8039.792825,Brazil,2583.559134,2584,545853,99,7102
30/01/2021,BRA,WPRO,90,7192,102,2665,102.3745394,7356.319925,Brazil,2283.615334,2284,548137,90,7192
31/01/2021,BRA,WPRO,130,7322,100,2765,99.67625562,6739.970048,Brazil,1999.351234,1999,550136,130,7322
01/02/2021,BRA,WPRO,320,7642,97,2862,96.77555548,6180.342879,Brazil,1739.190502,1739,551875,320,7642
02/02/2021,BRA,WPRO,157,7799,94,2956,93.70758737,5670.521078,Brazil,1523.824426,1524,553399,157,7799
03/02/2021,BRA,WPRO,124,7923,91,3047,90.50563093,5205.41779,Brazil,1326.560705,1327,554726,124,7923
04/02/2021,BRA,WPRO,108,8031,87,3134,87.19927934,4780.886477,Brazil,1140.345453,1140,555866,108,8031
05/02/2021,BRA,WPRO,147,8178,84,3218,83.8147969,4393.299076,Brazil,988.5044521,989,556855,147,8178
06/02/2021,BRA,WPRO,68,8246,80,3298,80.38460389,4039.366728,Brazil,862.613268,863,557718,68,8246
07/02/2021,BRA,WPRO,77,8323,77,3375,76.9358135,3716.071563,Brazil,763.6171348,764,558482,77,8323
